Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
3457,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Eggplants,vegetables and fruits,434,KG,aggregate,Retail,GHS,3.23,0.57
3458,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Onions,vegetables and fruits,173,KG,aggregate,Retail,GHS,9.04,1.6
3459,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Peppers (dried),vegetables and fruits,714,16 KG,aggregate,Wholesale,GHS,26.6,4.71
3460,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Peppers (dried),vegetables and fruits,714,KG,aggregate,Retail,GHS,2.59,0.46
3461,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Peppers (fresh),vegetables and fruits,713,20 KG,aggregate,Wholesale,GHS,314.31,55.63
3462,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apem),vegetables and fruits,705,Bunch,aggregate,Wholesale,GHS,204.0,36.11
3463,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apem),vegetables and fruits,705,KG,aggregate,Retail,GHS,1.28,0.23
3464,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Plantains (apentu),vegetables and fruits,98,KG,aggregate,Retail,GHS,1.61,0.28
3465,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Tomatoes (local),vegetables and fruits,346,52 KG,aggregate,Wholesale,GHS,17.6,3.12
3466,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Tomatoes (navrongo),vegetables and fruits,710,52 KG,aggregate,Wholesale,GHS,29.4,5.2
3468,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Onions,vegetables and fruits,173,73 KG,aggregate,Wholesale,GHS,9.84,1.74
3470,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Yam,cereals and tubers,99,250 KG,aggregate,Wholesale,GHS,372.0,65.84
3471,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (imported),cereals and tubers,64,KG,aggregate,Retail,GHS,6.8,1.2
3482,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Rice (local),cereals and tubers,71,KG,aggregate,Retail,GHS,6.15,1.09
3486,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cassava,cereals and tubers,68,KG,aggregate,Retail,GHS,4.81,0.85
3487,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Gari,cereals and tubers,63,68 KG,aggregate,Wholesale,GHS,307.58,54.44
3488,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Gari,cereals and tubers,63,KG,aggregate,Retail,GHS,4.02,0.71
3489,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize,cereals and tubers,51,KG,aggregate,Retail,GHS,2.0,0.35
3490,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize (yellow),cereals and tubers,136,100 KG,aggregate,Wholesale,GHS,246.0,43.54
3491,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Maize (yellow),cereals and tubers,136,KG,aggregate,Retail,GHS,2.63,0.47
3492,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Millet,cereals and tubers,73,93 KG,aggregate,Wholesale,GHS,343.17,60.74
3493,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Millet,cereals and tubers,73,KG,aggregate,Retail,GHS,4.44,0.79
3496,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Peppers (fresh),vegetables and fruits,713,KG,aggregate,Retail,GHS,1.82,0.32
3826,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Tomatoes (navrongo),vegetables and fruits,710,KG,aggregate,Retail,GHS,3.9,0.67
3827,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Tomatoes (navrongo),vegetables and fruits,710,52 KG,aggregate,Wholesale,GHS,24.52,4.23
3828,15/01/2021,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Tomatoes (local),vegetables and fruits,346,KG,aggregate,Retail,GHS,3.97,0.68
