Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
2851,15/01/2017,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,177.5,41.73
2878,15/01/2018,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,180.0,39.91
2879,15/01/2018,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,167.0,37.03
2880,15/01/2018,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,20.0,4.43
2897,15/01/2018,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,47.32,10.49
2909,15/01/2019,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,100.0,20.58
2913,15/01/2019,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,12.36,2.54
2929,15/01/2019,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Rice (imported),cereals and tubers,64,50 KG,actual,Wholesale,GHS,241.67,49.73
2932,15/01/2019,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,192.31,39.57
2947,15/01/2019,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,53.72,11.05
2964,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Cowpeas,pulses and nuts,218,KG,aggregate,Retail,GHS,1.96,0.35
2973,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Tomatoes (navrongo),vegetables and fruits,710,KG,aggregate,Retail,GHS,1.56,0.28
2974,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Tomatoes (local),vegetables and fruits,346,KG,aggregate,Retail,GHS,2.6,0.46
2976,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Plantains (apentu),vegetables and fruits,98,KG,aggregate,Retail,GHS,0.88,0.16
2977,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Peppers (fresh),vegetables and fruits,713,KG,aggregate,Retail,GHS,3.11,0.55
2978,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Peppers (dried),vegetables and fruits,714,KG,aggregate,Retail,GHS,2.83,0.5
2979,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Onions,vegetables and fruits,173,KG,aggregate,Retail,GHS,1.55,0.27
2980,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Eggplants,vegetables and fruits,434,KG,aggregate,Retail,GHS,1.31,0.23
2981,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Soybeans,pulses and nuts,248,KG,aggregate,Retail,GHS,2.74,0.48
2982,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Meat (chicken),"meat, fish and eggs",94,KG,aggregate,Retail,GHS,1.5,0.27
2983,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,"Fish (mackerel, fresh)","meat, fish and eggs",744,KG,aggregate,Retail,GHS,2.46,0.44
2984,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Yam (puna),cereals and tubers,737,KG,aggregate,Retail,GHS,3.85,0.68
2985,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Yam,cereals and tubers,99,KG,aggregate,Retail,GHS,5.21,0.92
2986,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Rice (local),cereals and tubers,71,KG,aggregate,Retail,GHS,3.5,0.62
2987,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Plantains (apem),vegetables and fruits,705,KG,aggregate,Retail,GHS,1.5,0.27
3014,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Rice (imported),cereals and tubers,64,KG,aggregate,Retail,GHS,3.55,0.63
3015,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Millet,cereals and tubers,73,KG,aggregate,Retail,GHS,5.31,0.94
3016,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Maize (yellow),cereals and tubers,136,KG,aggregate,Retail,GHS,1.63,0.29
3017,15/01/2020,Mankessim,Mfantsiman,214,5.27,-1.02,Maize,cereals and tubers,51,KG,aggregate,Retail,GHS,1.48,0.26
3018,15/01/2020,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Sorghum,cereals and tubers,65,KG,aggregate,Retail,GHS,3.75,0.66
3019,15/01/2020,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Sorghum,cereals and tubers,65,109 KG,aggregate,Wholesale,GHS,408.75,72.35
3020,15/01/2020,Cape Coast,Cape Coast Metro,213,5.11,-1.24,Rice (local),cereals and tubers,71,KG,aggregate,Retail,GHS,6.25,1.11
